,Query Index,No_index_exe_list,Exe_list_whatif,Exe_list_rainbow,Exe_list_lib,Exe_list_AIMEETAI,Whatif Ratio (%),Rainbow Ratio (%),Lib Ratio (%),Tree Model Ratio (%)
0,1,21.87622857093811,19.05151867866516,20.87622857093811,20.9546537399292,19.988238096237183,12.912234314581482,4.571171839594275,4.212676915586788,8.630328891375108
1,2,8.654166221618652,6.99236798286438,2.654166221618652,8.070940494537354,7.031023740768433,19.202291661592955,69.33076909259754,6.73924803552264,18.755619424035416
2,3,9.15205430984497,8.655571460723877,8.15205430984497,9.76323914527893,9.320241212844849,5.424824113937145,10.926508586430572,-6.67811635226532,-1.837695639753332
3,4,5.959597110748291,5.994517087936401,1.959597110748291,6.807253837585449,7.009415864944458,-0.5859452667552182,67.11863110319814,-14.223389787681903,-17.615599422027895
4,5,2.9437711238861084,2.811271905899048,2.9437711238861084,3.849627733230591,4.950334548950195,4.5010027074437335,0.0,-30.77197822868274,-68.16302425085269
5,6,5.576467037200928,5.551562786102295,1.576467037200928,6.763085842132568,6.534795761108398,0.4465955045102059,71.73000348277455,-21.27904275261809,-17.185230675881442
6,7,8.563545227050781,4.999118328094482,2.563545227050781,7.348547697067261,8.302945852279663,41.623262380828926,70.06443991265465,14.1880202389257,3.04312487248773
7,8,21.09904980659485,20.070071697235107,18.09904980659485,18.379640340805054,20.87278985977173,4.876893124533587,14.21864978517801,12.888776938854374,1.0723703147636483
8,9,7.9376490116119385,8.424728870391846,7.9376490116119385,8.601769924163818,8.691076517105103,-6.136323967806602,0.0,-8.36672056902921,-9.491821878127636
9,10,1.7685601711273193,1.1769258975982666,1.7685601711273193,1.82212495803833,1.7128398418426514,33.452877837451915,0.0,-3.028722900440948,3.150604101253202
10,11,7.038450479507446,7.74394416809082,7.038450479507446,7.8722546100616455,7.957862615585327,-10.023423346337799,0.0,-11.84641609658024,-13.062706610705908
11,12,3.3444976806640625,4.747687816619873,3.3444976806640625,4.945090293884277,2.113158941268921,-41.95518340671123,0.0,-47.85748910737505,36.81685134703561
12,13,4.774364471435547,4.841948747634888,4.774364471435547,5.162890911102295,4.871729850769043,-1.4155659167558212,0.0,-8.137762460140095,-2.0393369613070296
13,14,44.95784950256348,44.75519633293152,34.95784950256348,45.644519567489624,43.19474196434021,0.45076259624118103,22.243056797967625,-1.5273641255616417,3.9216901113624996
14,15,4.175485849380493,0.4367256164550781,4.175485849380493,5.264846086502075,5.204153776168823,89.54072335031685,0.0,-26.08942471408945,-24.635885832087087
15,16,21.79736304283142,24.713005542755127,18.79736304283142,22.39594006538391,23.254599571228027,-13.376124874346138,13.763132696854452,-2.746098330225988,-6.685379903675336
